x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.58635166,0.27771076,0.29703035,-0.00174959,0.10775676,-0.00177762,209.79433385,51.72461555,-22.50203618,51.72461555,265.62305449,58.89138616,-22.50203618,58.89138616,240.58133301,65.97218745,23.91388125,11.86187421,23.91388125,14.30451477,8.40418693,11.86187421,8.40418693,28.92703589
0.58633402,0.27879017,0.29701228,-0.00176515,0.10813489,-0.00183634,210.01593455,51.73862834,-22.52548864,51.73862834,264.82873953,58.97400868,-22.52548864,58.97400868,240.27240825,65.73820787,24.67169550,11.88074245,24.67169550,14.88155067,8.57962027,11.88074245,8.57962027,28.93404255
0.58631635,0.27987346,0.29699362,-0.00175664,0.10853496,-0.00189595,210.23830723,51.74869411,-22.54884853,51.74869411,264.02433030,59.05566820,-22.54884853,59.05566820,239.95758703,65.49251590,25.42565797,11.89715254,25.42565797,15.47980716,8.75572474,11.89715254,8.75572474,28.94008854
0.58629889,0.28096087,0.29697436,-0.00172628,0.10895771,-0.00195643,210.46136035,51.75491334,-22.57204614,51.75491334,263.20977243,59.13623482,-22.57204614,59.13623482,239.63676811,65.23543658,26.17523308,11.91114496,26.17523308,16.09911375,8.93235162,11.91114496,8.93235162,28.94517230
0.58628183,0.28205262,0.29695449,-0.00167634,0.10940374,-0.00201772,210.68500506,51.75738829,-22.59501332,51.75738829,262.38501780,59.21557605,-22.59501332,59.21557605,239.30985361,64.96729474,26.91989176,11.92276063,26.91989176,16.73926380,9.10935196,11.92276063,9.10935196,28.94929024
0.58626536,0.28314894,0.29693401,-0.00160908,0.10987354,-0.00207978,210.90915532,51.75622300,-22.61768356,51.75622300,261.55002482,59.29355706,-22.61768356,59.29355706,238.97674932,64.68841456,27.65911198,11.93204089,27.65911198,17.40001457,9.28657670,11.93204089,9.28657670,28.95243673
0.58624965,0.28425009,0.29691290,-0.00152677,0.11036747,-0.00214254,211.13372797,51.75152316,-22.63999219,51.75152316,260.70475873,59.37004084,-22.63999219,59.37004084,238.63736510,64.39911917,28.39237940,11.93902736,28.39237940,18.08108724,9.46387677,11.93902736,9.46387677,28.95460421
0.58623482,0.28535629,0.29689116,-0.00143168,0.11088575,-0.00220593,211.35864285,51.74339606,-22.66187648,51.74339606,259.84919185,59.44488851,-22.66187648,59.44488851,238.29161514,64.09973022,29.11918789,11.94376195,29.11918789,18.78216715,9.64110321,11.94376195,9.64110321,28.95578327
0.58622101,0.28646780,0.29686878,-0.00132607,0.11142850,-0.00226988,211.58382285,51.73195053,-22.68327580,51.73195053,258.98330385,59.51795949,-22.68327580,59.51795949,237.93941837,63.79056749,29.83904012,11.94628673,29.83904012,19.50290405,9.81810723,11.94628673,9.81810723,28.95596277
0.58620830,0.28758486,0.29684576,-0.00121215,0.11199567,-0.00233428,211.80919405,51.71729682,-22.70413175,51.71729682,258.10708203,59.58911179,-22.70413175,59.58911179,237.58069874,63.47194853,30.55144806,11.94664390,30.55144806,20.24291245,9.99474036,11.94664390,9.99474036,28.95512993
0.58619677,0.28870772,0.29682209,-0.00109214,0.11258713,-0.00239904,212.03468577,51.69954653,-22.72438829,51.69954653,257.22052152,59.65820222,-22.72438829,59.65820222,237.21538556,63.14418828,31.25593349,11.94487573,31.25593349,21.00177215,10.17085446,11.94487573,10.17085446,28.95327053
0.58618646,0.28983660,0.29679778,-0.00096819,0.11320261,-0.00246405,212.26023068,51.67881256,-22.74399185,51.67881256,256.32362556,59.72508661,-22.74399185,59.72508661,236.84341384,62.80759873,31.95202844,11.94102449,31.95202844,21.77902871,10.34630191,11.94102449,10.34630191,28.95036904
0.58617740,0.29097177,0.29677281,-0.00084243,0.11384170,-0.00252917,212.48576481,51.65520900,-22.76289150,51.65520900,255.41640568,59.78962013,-22.76289150,59.78962013,236.46472454,62.46248859,32.63927570,11.93513239,32.63927570,22.57419415,10.52093560,11.93513239,10.52093560,28.94640883
0.58616961,0.29211344,0.29674719,-0.00071691,0.11450390,-0.00259428,212.71122772,51.62885107,-22.78103901,51.62885107,254.49888192,59.85165744,-22.78103901,59.85165744,236.07926492,62.10916298,33.31722918,11.92724153,33.31722918,23.38674770,10.69460903,11.92724153,10.69460903,28.94137235
0.58616307,0.29326185,0.29672093,-0.00059364,0.11518857,-0.00265923,212.93656247,51.59985499,-22.79838900,51.59985499,253.57108304,59.91105301,-22.79838900,59.91105301,235.68698879,61.74792312,33.98545433,11.91739385,33.98545433,24.21613656,10.86717644,11.91739385,10.86717644,28.93524137
0.58615774,0.29441721,0.29669401,-0.00047458,0.11589497,-0.00272388,213.16171575,51.56833797,-22.81489903,51.56833797,252.63304669,59.96766130,-22.81489903,59.96766130,235.28785681,61.37906604,34.64352848,11.90563108,34.64352848,25.06177686,11.03849279,11.90563108,11.03849279,28.92799721
0.58615357,0.29557974,0.29666645,-0.00036161,0.11662224,-0.00278805,213.38663790,51.53441807,-22.83052971,51.53441807,251.68481958,60.02133706,-22.83052971,60.02133706,234.88183672,61.00288434,35.29104122,11.89199468,35.29104122,25.92305464,11.20841388,11.89199468,11.20841388,28.91962102
0.58615051,0.29674965,0.29663825,-0.00025652,0.11736942,-0.00285159,213.61128295,51.49821411,-22.84524478,51.49821411,250.72645761,60.07193552,-22.84524478,60.07193552,234.46890363,60.61966594,35.92759467,11.87652581,35.92759467,26.79932688,11.37679638,11.87652581,11.37679638,28.91009404
0.58614844,0.29792713,0.29660942,-0.00016107,0.11813544,-0.00291431,213.83560870,51.45984565,-22.85901120,51.45984565,249.75802604,60.11931268,-22.85901120,60.11931268,234.04904021,60.22969383,36.55280377,11.85926528,36.55280377,27.68992268,11.54349790,11.85926528,11.54349790,28.89939786
0.58614728,0.29911236,0.29657996,-0.00007691,0.11891913,-0.00297604,214.05957673,51.41943281,-22.87179924,51.41943281,248.77959959,60.16332548,-22.87179924,60.16332548,233.62223692,59.83324587,37.16629653,11.84025350,37.16629653,28.59414446,11.70837703,11.84025350,11.70837703,28.88751480
0.58614691,0.30030552,0.29654990,-0.00000563,0.11971921,-0.00303658,214.28315242,51.37709629,-22.88358253,51.37709629,247.79126256,60.20383211,-22.88358253,60.20383211,233.18849223,59.43059461,37.76771427,11.81953044,37.76771427,29.51126923,11.87129338,11.81953044,11.87129338,28.87442816
0.58614717,0.30150675,0.29651923,0.00005128,0.12053434,-0.00309575,214.50630500,51.33295719,-22.89433815,51.33295719,246.79310889,60.24069217,-22.89433815,60.24069217,232.74781280,59.02200709,38.35671179,11.79713562,38.35671179,30.44054993,12.03210759,11.79713562,12.03210759,28.86012260
